doc_id,item,category,amount,price,discount
ACEDEEB4911502,Изолента,Бытовые товары,4,45,2.25
ACEDEEB4911502,Пена,Бытовая химия,8,225,22.5
ACEDEEB4911502,Рубанок,Строительные товары,6,350,35.0
ACEDEEB4911502,Скотч,Бытовые товары,8,75,7.5
ACEDEEB4911502,Изолента,Бытовые товары,9,45,4.5
ABECBDB7329704,Отвертка,Бытовые товары,3,150,7.5
ABECBDB7329704,Изолента,Бытовые товары,9,45,4.5
ABECBDB7329704,Шпатель,Строительные товары,7,150,15.0
ABECBDB7329704,Шпатель,Строительные товары,1,150,0.0
BCBBAEC3916812,Шпатель,Строительные товары,9,150,15.0
BCBBAEC3916812,Рубанок,Строительные товары,7,350,35.0
BEEEACC4229810,Шпатель,Строительные товары,1,150,0.0
BEEEACC4229810,Шпатель,Строительные товары,3,150,7.5
BEEEACC4229810,Молоток,Строительные товары,3,250,12.5
BEEEACC4229810,Изолента,Бытовые товары,8,45,4.5
ADDCCEB0989084,Клей,Бытовая химия,9,50,5.0
ADDCCEB0989084,Молоток,Строительные товары,2,250,0.0
ADDCCEB0989084,Пена,Бытовая химия,6,225,22.5
ACEBCBE9103888,Рубанок,Строительные товары,3,350,17.5
ACEBCBE9103888,Клей,Бытовая химия,6,50,5.0
ACEBCBE9103888,Отвертка,Бытовые товары,2,150,0.0
ACEBCBE9103888,Клей,Бытовая химия,2,50,0.0
ACEBCBE9103888,Рубанок,Строительные товары,1,350,0.0
ACEBCBE9103888,Рубанок,Строительные товары,2,350,0.0
EEABBBC3612949,Отвертка,Бытовые товары,5,150,15.0
EEABBBC3612949,Клей,Бытовая химия,6,50,5.0
EEABBBC3612949,Отвертка,Бытовые товары,5,150,15.0
CCECCCE0897273,Пена,Бытовая химия,6,225,22.5
CCECCCE0897273,Изолента,Бытовые товары,8,45,4.5
CCECCCE0897273,Изолента,Бытовые товары,6,45,4.5
CCECCCE0897273,Рубанок,Строительные товары,6,350,35.0
CCECCCE0897273,Скотч,Бытовые товары,7,75,7.5
CCECCCE0897273,Молоток,Строительные товары,9,250,25.0
DADBBCD3868198,Рубанок,Строительные товары,3,350,17.5
DADBBCD3868198,Скотч,Бытовые товары,8,75,7.5
DADBBCD3868198,Изолента,Бытовые товары,9,45,4.5
DADBBCD3868198,Молоток,Строительные товары,9,250,25.0
DADBBCD3868198,Молоток,Строительные товары,7,250,25.0
DEECAEA4375025,Скотч,Бытовые товары,5,75,7.5
DEECAEA4375025,Отвертка,Бытовые товары,4,150,7.5
DEECAEA4375025,Скотч,Бытовые товары,6,75,7.5
DEECAEA4375025,Скотч,Бытовые товары,1,75,0.0
DEECAEA4375025,Отвертка,Бытовые товары,7,150,15.0
DEECAEA4375025,Шпатель,Строительные товары,5,150,15.0
DBBDBEE4447263,Клей,Бытовая химия,4,50,2.5
DBBDBEE4447263,Шпатель,Строительные товары,7,150,15.0
DBBDBEE4447263,Изолента,Бытовые товары,1,45,0.0
DBBDBEE4447263,Клей,Бытовая химия,8,50,5.0
DCECEEB9706264,Клей,Бытовая химия,8,50,5.0
DCECEEB9706264,Скотч,Бытовые товары,7,75,7.5
ACDABBC2061490,Пена,Бытовая химия,2,225,0.0
ACDABBC2061490,Изолента,Бытовые товары,3,45,2.25
ACDABBC2061490,Изолента,Бытовые товары,7,45,4.5
ACDABBC2061490,Скотч,Бытовые товары,1,75,0.0
ACDABBC2061490,Рубанок,Строительные товары,6,350,35.0
ACDABBC2061490,Скотч,Бытовые товары,2,75,0.0
ACBABAA5374708,Клей,Бытовая химия,5,50,5.0
ACBABAA5374708,Рубанок,Строительные товары,5,350,35.0
ACBABAA5374708,Изолента,Бытовые товары,9,45,4.5
ACBABAA5374708,Клей,Бытовая химия,8,50,5.0
ACBABAA5374708,Молоток,Строительные товары,2,250,0.0
ACBABAA5374708,Молоток,Строительные товары,9,250,25.0
DEEBCCB7204523,Рубанок,Строительные товары,6,350,35.0
DEEBCCB7204523,Шпатель,Строительные товары,1,150,0.0
DEEBCCB7204523,Изолента,Бытовые товары,1,45,0.0
DEEBCCB7204523,Шпатель,Строительные товары,9,150,15.0
DEEBCCB7204523,Изолента,Бытовые товары,2,45,0.0
