doc_id,item,category,amount,price,discount
DEBAAAC1898962,Пена,Бытовая химия,4,225,11.25
DEBAAAC1898962,Скотч,Бытовые товары,6,75,7.5
DEBAAAC1898962,Отвертка,Бытовые товары,2,150,0.0
DEBAAAC1898962,Молоток,Строительные товары,8,250,25.0
DEBAAAC1898962,Молоток,Строительные товары,4,250,12.5
DEBAAAC1898962,Клей,Бытовая химия,1,50,0.0
DEBAAAC1898962,Изолента,Бытовые товары,7,45,4.5
BCCDBAC4947104,Скотч,Бытовые товары,2,75,0.0
BCCDBAC4947104,Рубанок,Строительные товары,3,350,17.5
BCCDBAC4947104,Шпатель,Строительные товары,3,150,7.5
BCCDBAC4947104,Скотч,Бытовые товары,8,75,7.5
BCCDBAC4947104,Шпатель,Строительные товары,8,150,15.0
BCCDBAC4947104,Скотч,Бытовые товары,1,75,0.0
BBACAAE6610779,Изолента,Бытовые товары,9,45,4.5
BBACAAE6610779,Рубанок,Строительные товары,1,350,0.0
BEAEAEA3138923,Скотч,Бытовые товары,7,75,7.5
EBDEEDE6327326,Рубанок,Строительные товары,3,350,17.5
EBDEEDE6327326,Изолента,Бытовые товары,8,45,4.5
EBDEEDE6327326,Пена,Бытовая химия,1,225,0.0
EBDEEDE6327326,Скотч,Бытовые товары,9,75,7.5
EBDEEDE6327326,Клей,Бытовая химия,1,50,0.0
CEDDEED6603582,Клей,Бытовая химия,4,50,2.5
CEDDEED6603582,Шпатель,Строительные товары,4,150,7.5
CEDDEED6603582,Шпатель,Строительные товары,5,150,15.0
CEDDEED6603582,Изолента,Бытовые товары,3,45,2.25
CABBDDD5960275,Молоток,Строительные товары,5,250,25.0
CABBDDD5960275,Шпатель,Строительные товары,8,150,15.0
CABBDDD5960275,Изолента,Бытовые товары,5,45,4.5
CABBDDD5960275,Пена,Бытовая химия,7,225,22.5
CABBDDD5960275,Пена,Бытовая химия,9,225,22.5
CABBDDD5960275,Шпатель,Строительные товары,9,150,15.0
CABBDDD5960275,Скотч,Бытовые товары,6,75,7.5
CABBDDD5960275,Пена,Бытовая химия,4,225,11.25
CACDEDC1954003,Пена,Бытовая химия,7,225,22.5
ECABACD2801464,Изолента,Бытовые товары,3,45,2.25
ECABACD2801464,Клей,Бытовая химия,8,50,5.0
ECABACD2801464,Шпатель,Строительные товары,6,150,15.0
CBCCCAD7164268,Скотч,Бытовые товары,1,75,0.0
DCBABBC1415912,Молоток,Строительные товары,1,250,0.0
DCBABBC1415912,Изолента,Бытовые товары,4,45,2.25
DCBABBC1415912,Изолента,Бытовые товары,9,45,4.5
DCBABBC1415912,Молоток,Строительные товары,2,250,0.0
DCBABBC1415912,Скотч,Бытовые товары,9,75,7.5
DCBABBC1415912,Молоток,Строительные товары,1,250,0.0
CDCCDEC2916689,Изолента,Бытовые товары,9,45,4.5
CDCCDEC2916689,Молоток,Строительные товары,3,250,12.5
CDCCDEC2916689,Рубанок,Строительные товары,8,350,35.0
CBBBBDA2712732,Шпатель,Строительные товары,1,150,0.0
BAAAEDC8278426,Молоток,Строительные товары,8,250,25.0
BAAAEDC8278426,Отвертка,Бытовые товары,4,150,7.5
BCACCAA6384146,Отвертка,Бытовые товары,5,150,15.0
BDACCCE5810216,Шпатель,Строительные товары,7,150,15.0
BDACCCE5810216,Молоток,Строительные товары,9,250,25.0
BDACCCE5810216,Скотч,Бытовые товары,7,75,7.5
BDACCCE5810216,Отвертка,Бытовые товары,4,150,7.5
BDACCCE5810216,Пена,Бытовая химия,2,225,0.0
BDACCCE5810216,Отвертка,Бытовые товары,9,150,15.0
BDACCCE5810216,Рубанок,Строительные товары,9,350,35.0
CEADBEC5283245,Отвертка,Бытовые товары,1,150,0.0
CEADBEC5283245,Скотч,Бытовые товары,4,75,3.75
CEADBEC5283245,Изолента,Бытовые товары,6,45,4.5
CEADBEC5283245,Молоток,Строительные товары,4,250,12.5
CEADBEC5283245,Клей,Бытовая химия,6,50,5.0
EBAECEC3188841,Отвертка,Бытовые товары,6,150,15.0
EBAECEC3188841,Скотч,Бытовые товары,1,75,0.0
EBAECEC3188841,Рубанок,Строительные товары,2,350,0.0
EBAECEC3188841,Молоток,Строительные товары,7,250,25.0
